Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:31:42 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6	10	9	5	2
character 152	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 153	0:0.66965939; 1:0.33034061	0:0.91235081; 1:0.08764919	0:0.8847118; 1:0.1152882	0:0.80525085; 1:0.19474915	0:0.77341863; 1:0.22658137
character 154	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 155	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 156	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 157	0:0.12198888; 1:0.87801112	0:0.36616848; 1:0.63383152	0:0.27204715; 1:0.72795285	0:0.26220622; 1:0.73779378	0:0.28915486; 1:0.71084514
character 158	0:0.8591251; 1:0.1408749	0:0.12172257; 1:0.87827743	0:0.20148886; 1:0.79851114	0:0.41511614; 1:0.58488386	0:0.43982352; 1:0.56017648
character 159	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 160	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 161	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 162	0:0.68625674; 1:0.31374326	0:0.49973515; 1:0.50026485	0:0.46196286; 1:0.53803714	0:0.4907705; 1:0.5092295	0:0.4816525; 1:0.5183475
character 164	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 166	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 167	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 168	0:0.0101172; 1:0.9898828	0:0.69087353; 1:0.30912647	0:0.15848127; 1:0.84151873	0:0.03984457; 1:0.96015543	0:0.02907524; 1:0.97092476
character 169	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 170	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 171	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 172	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 173	0:0.90365191; 1:0.09634809	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 174	0:0.87801112; 1:0.12198888	0:0.63383153; 1:0.36616847	0:0.72795286; 1:0.27204714	0:0.73779378; 1:0.26220622	0:0.71084514; 1:0.28915486
character 175	0:0.99859055; 1:0.00140945	0:0.95584952; 1:0.04415048	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 176	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 177	0:0.15839489; 1:0.84160511	0:0.26201981; 1:0.73798019	0:0.39956252; 1:0.60043748	0:0.38906323; 1:0.61093677	0:0.42420465; 1:0.57579535
character 178	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 179	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 181	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 182	0:0.74871337; 1:0.25128663	0:0.46189956; 1:0.53810044	0:0.39887404; 1:0.60112596	0:0.41538714; 1:0.58461286	0:0.37897677; 1:0.62102323
character 183	0:0.99859055; 1:0.00140945	0:0.95584952; 1:0.04415048	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 184	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 185	0:0.95944774; 1:0.04055226	0:0.10208347; 1:0.89791653	0:0.23988991; 1:0.76011009	0:0.76915256; 1:0.23084744	0:0.83475583; 1:0.16524417
character 187	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 188	0:0.99796466; 1:0.00203534	0:0.9986885; 1:0.0013115	0:0.99808719; 1:0.00191281	0:0.99069785; 1:0.00930215	0:0.96302852; 1:0.03697148
character 189	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 190	0:0.68625674; 1:0.31374326	0:0.49973515; 1:0.50026485	0:0.46196286; 1:0.53803714	0:0.4907705; 1:0.5092295	0:0.4816525; 1:0.5183475
character 191	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 193	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 194	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 195	0:0.14758506; 1:0.85241494	0:0.90888805; 1:0.09111195	0:0.84927542; 1:0.15072458	0:0.67797048; 1:0.32202952	0:0.66787748; 1:0.33212252
character 196	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 200	0:0.1720113; 1:0.8279887	0:0.65401823; 1:0.34598177	0:0.45680757; 1:0.54319243	0:0.39222777; 1:0.60777223	0:0.39863639; 1:0.60136361
character 201	0:0.99859055; 1:0.00140945	0:0.95584953; 1:0.04415047	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 202	0:0.9036519; 1:0.0963481	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 204	0:0.04055226; 1:0.95944774	0:0.89791652; 1:0.10208348	0:0.76011008; 1:0.23988992	0:0.23084745; 1:0.76915255	0:0.16524418; 1:0.83475582
character 205	0:0.00156862; 1:0.99843138	0:0.06317104; 1:0.93682896	0:0.00942528; 1:0.99057472	0:0.00160078; 1:0.99839922	0:0.0016208; 1:0.9983792
character 206	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 207	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 208	0:0.1720113; 1:0.8279887	0:0.65401823; 1:0.34598177	0:0.45680757; 1:0.54319243	0:0.39222777; 1:0.60777223	0:0.39863639; 1:0.60136361
character 209	0:0.8591251; 1:0.1408749	0:0.12172257; 1:0.87827743	0:0.20148886; 1:0.79851114	0:0.41511614; 1:0.58488386	0:0.43982352; 1:0.56017648
character 210	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 211	0:0.87801112; 1:0.12198888	0:0.63383153; 1:0.36616847	0:0.72795286; 1:0.27204714	0:0.73779378; 1:0.26220622	0:0.71084514; 1:0.28915486
character 212	0:0.9898828; 1:0.0101172	0:0.30912647; 1:0.69087353	0:0.84151873; 1:0.15848127	0:0.96015543; 1:0.03984457	0:0.97092476; 1:0.02907524
character 213	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 214	0:0.04200474; 1:0.95799526	0:0.0384877; 1:0.9615123	0:0.07428151; 1:0.92571849	0:0.20958244; 1:0.79041756	0:0.43287988; 1:0.56712012
character 215	0:0.99796466; 1:0.00203534	0:0.9986885; 1:0.0013115	0:0.99808719; 1:0.00191281	0:0.99069785; 1:0.00930215	0:0.96302852; 1:0.03697148
character 216	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 217	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 218	0:0.90365191; 1:0.09634809	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 219	0:0.18344299; 1:0.81655701	0:0.37750935; 1:0.62249065	0:0.33339822; 1:0.66660178	0:0.36306476; 1:0.63693524	0:0.40642126; 1:0.59357874
character 220	0:0.00156862; 1:0.99843138	0:0.06317104; 1:0.93682896	0:0.00942528; 1:0.99057472	0:0.00160078; 1:0.99839922	0:0.0016208; 1:0.9983792
character 221	0:0.04200474; 1:0.95799526	0:0.0384877; 1:0.9615123	0:0.07428151; 1:0.92571849	0:0.20958243; 1:0.79041757	0:0.43287988; 1:0.56712012
character 222	0:0.8416051; 1:0.1583949	0:0.73798019; 1:0.26201981	0:0.60043748; 1:0.39956252	0:0.61093677; 1:0.38906323	0:0.57579534; 1:0.42420466
character 223	0:0.90365191; 1:0.09634809	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 224	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 225	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 226	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 228	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 229	0:0.90591531; 1:0.09408469	0:0.58896083; 1:0.41103917	0:0.59925114; 1:0.40074886	0:0.76694173; 1:0.23305827	0:0.79814358; 1:0.20185642
character 230	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 231	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 232	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 233	0:0.25128664; 1:0.74871336	0:0.53810044; 1:0.46189956	0:0.60112595; 1:0.39887405	0:0.58461285; 1:0.41538715	0:0.62102323; 1:0.37897677
character 234	0:0.99859055; 1:0.00140945	0:0.95584953; 1:0.04415047	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 235	0:0.9036519; 1:0.0963481	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 236	0:0.81141695; 1:0.18858305	0:0.25645001; 1:0.74354999	0:0.40267999; 1:0.59732001	0:0.39910006; 1:0.60089994	0:0.34051425; 1:0.65948575
character 237	0:0.66965939; 1:0.33034061	0:0.91235081; 1:0.08764919	0:0.8847118; 1:0.1152882	0:0.80525085; 1:0.19474915	0:0.77341863; 1:0.22658137
character 238	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 239	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 240	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 241	0:0.1408749; 1:0.8591251	0:0.87827742; 1:0.12172258	0:0.79851114; 1:0.20148886	0:0.58488386; 1:0.41511614	0:0.56017647; 1:0.43982353
character 242	0:0.90365191; 1:0.09634809	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 243	0:0.15839489; 1:0.84160511	0:0.26201981; 1:0.73798019	0:0.39956252; 1:0.60043748	0:0.38906323; 1:0.61093677	0:0.42420465; 1:0.57579535
character 244	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 245	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 246	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 247	0:0.1720113; 1:0.8279887	0:0.65401823; 1:0.34598177	0:0.45680757; 1:0.54319243	0:0.39222776; 1:0.60777224	0:0.39863639; 1:0.60136361
character 248	0:0.90365191; 1:0.09634809	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 249	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 250	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 252	0:0.18344299; 1:0.81655701	0:0.37750935; 1:0.62249065	0:0.33339822; 1:0.66660178	0:0.36306476; 1:0.63693524	0:0.40642126; 1:0.59357874
character 253	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 254	0:0.29488303; 1:0.70511697	0:0.55332218; 1:0.44667782	0:0.56846167; 1:0.43153833	0:0.52186277; 1:0.47813723	0:0.52847883; 1:0.47152117
character 255	0:0.99796466; 1:0.00203534	0:0.9986885; 1:0.0013115	0:0.99808719; 1:0.00191281	0:0.99069785; 1:0.00930215	0:0.96302852; 1:0.03697148
character 256	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 257	0:0.90365191; 1:0.09634809	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 258	0:0.9898828; 1:0.0101172	0:0.30912647; 1:0.69087353	0:0.84151873; 1:0.15848127	0:0.96015543; 1:0.03984457	0:0.97092476; 1:0.02907524
character 259	0:0.85241494; 1:0.14758506	0:0.09111195; 1:0.90888805	0:0.15072458; 1:0.84927542	0:0.32202952; 1:0.67797048	0:0.33212252; 1:0.66787748
character 260	0:0.18858305; 1:0.81141695	0:0.74354999; 1:0.25645001	0:0.59732001; 1:0.40267999	0:0.60089994; 1:0.39910006	0:0.65948575; 1:0.34051425
character 261	0:0.9036519; 1:0.0963481	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 262	0:0.00140945; 1:0.99859055	0:0.04415047; 1:0.95584953	0:0.00648637; 1:0.99351363	0:0.00114385; 1:0.99885615	0:0.00129505; 1:0.99870495
character 263	0:0.99859055; 1:0.00140945	0:0.95584953; 1:0.04415047	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 264	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 265	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 266	0:0.90591531; 1:0.09408469	0:0.58896083; 1:0.41103917	0:0.59925114; 1:0.40074886	0:0.76694173; 1:0.23305827	0:0.79814358; 1:0.20185642
character 267	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 268	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 269	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 270	0:0.26886031; 1:0.73113969	0:0.48264866; 1:0.51735134	0:0.43012929; 1:0.56987071	0:0.4474335; 1:0.5525665	0:0.47472728; 1:0.52527272
character 271	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 272	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 273	0:0.95799526; 1:0.04200474	0:0.9615123; 1:0.0384877	0:0.92571849; 1:0.07428151	0:0.79041756; 1:0.20958244	0:0.56712012; 1:0.43287988
character 274	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 275	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 276	0:0.00203534; 1:0.99796466	0:0.0013115; 1:0.9986885	0:0.00191281; 1:0.99808719	0:0.00930215; 1:0.99069785	0:0.03697148; 1:0.96302852
character 277	0:0.00156862; 1:0.99843138	0:0.06317104; 1:0.93682896	0:0.00942528; 1:0.99057472	0:0.00160078; 1:0.99839922	0:0.0016208; 1:0.9983792
character 278	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 279	0:0.80471063; 1:0.19528937	0:0.68182474; 1:0.31817526	0:0.50762643; 1:0.49237357	0:0.47168627; 1:0.52831373	0:0.40426663; 1:0.59573337
character 280	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 281	0:0.04055226; 1:0.95944774	0:0.89791653; 1:0.10208347	0:0.76011009; 1:0.23988991	0:0.23084744; 1:0.76915256	0:0.16524417; 1:0.83475583
character 282	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 283	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 284	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 286	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 287	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 289	0:0.90365191; 1:0.09634809	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 290	0:0.00156862; 1:0.99843138	0:0.06317104; 1:0.93682896	0:0.00942528; 1:0.99057472	0:0.00160078; 1:0.99839922	0:0.0016208; 1:0.9983792
character 292	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 293	0:0.30009954; 1:0.69990046	0:0.49305668; 1:0.50694332	0:0.52320957; 1:0.47679043	0:0.47408537; 1:0.52591463	0:0.46934132; 1:0.53065868
character 294	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 295	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 296	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 297	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 298	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 299	0:0.00203534; 1:0.99796466	0:0.0013115; 1:0.9986885	0:0.00191281; 1:0.99808719	0:0.00930215; 1:0.99069785	0:0.03697148; 1:0.96302852
character 300	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 301	0:0.25128664; 1:0.74871336	0:0.53810044; 1:0.46189956	0:0.60112595; 1:0.39887405	0:0.58461285; 1:0.41538715	0:0.62102323; 1:0.37897677
character 302	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 303	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 304	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 305	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 306	0:0.84160511; 1:0.15839489	0:0.73798019; 1:0.26201981	0:0.60043748; 1:0.39956252	0:0.61093677; 1:0.38906323	0:0.57579535; 1:0.42420465
character 307	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 308	0:0.90365191; 1:0.09634809	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 309	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 310	0:0.00156862; 1:0.99843138	0:0.06317104; 1:0.93682896	0:0.00942528; 1:0.99057472	0:0.00160078; 1:0.99839922	0:0.0016208; 1:0.9983792
character 311	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 312	0:0.99796466; 1:0.00203534	0:0.9986885; 1:0.0013115	0:0.99808719; 1:0.00191281	0:0.99069785; 1:0.00930215	0:0.96302852; 1:0.03697148
character 313	0:0.8754428; 1:0.1245572	0:0.49877876; 1:0.50122124	0:0.52682813; 1:0.47317187	0:0.70455538; 1:0.29544462	0:0.7416769; 1:0.2583231
character 314	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 315	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 316	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 317	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 320	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 321	0:0.1720113; 1:0.8279887	0:0.65401823; 1:0.34598177	0:0.45680757; 1:0.54319243	0:0.39222776; 1:0.60777224	0:0.39863639; 1:0.60136361
character 322	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 324	0:0.70511697; 1:0.29488303	0:0.44667782; 1:0.55332218	0:0.43153833; 1:0.56846167	0:0.47813723; 1:0.52186277	0:0.47152117; 1:0.52847883
character 325	0:0.99859055; 1:0.00140945	0:0.95584952; 1:0.04415048	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 326	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 327	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 328	0:0.8591251; 1:0.1408749	0:0.12172258; 1:0.87827742	0:0.20148886; 1:0.79851114	0:0.41511614; 1:0.58488386	0:0.43982353; 1:0.56017647
character 329	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
