Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:30:07 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6
character 162	0:0.68625674; 1:0.31374326
character 164	0:0.99840479; 1:0.00159521
character 166	0:0.84952492; 1:0.15047508
character 167	0:0.84952492; 1:0.15047508
character 168	0:0.0101172; 1:0.9898828
character 169	0:0.00159521; 1:0.99840479
character 170	0:0.5; 1:0.5
character 171	0:0.5; 1:0.5
character 172	0:0.5; 1:0.5
character 173	0:0.90365191; 1:0.09634809
character 174	0:0.87801112; 1:0.12198888
character 175	0:0.99859055; 1:0.00140945
character 176	0:0.84952492; 1:0.15047508
character 177	0:0.15839489; 1:0.84160511
character 178	0:0.99843138; 1:0.00156862
character 179	0:0.5; 1:0.5
character 181	0:0.84952492; 1:0.15047508
character 182	0:0.74871337; 1:0.25128663
character 183	0:0.99859055; 1:0.00140945
character 184	0:0.00159521; 1:0.99840479
character 185	0:0.95944774; 1:0.04055226
character 187	0:0.08537079; 1:0.91462921
character 188	0:0.99796466; 1:0.00203534
character 189	0:0.5; 1:0.5
character 190	0:0.68625674; 1:0.31374326
character 191	0:0.5; 1:0.5
character 193	0:0.99840479; 1:0.00159521
character 194	0:0.99840479; 1:0.00159521
character 195	0:0.14758506; 1:0.85241494
character 196	0:0.5; 1:0.5
character 200	0:0.1720113; 1:0.8279887
character 201	0:0.99859055; 1:0.00140945
character 202	0:0.9036519; 1:0.0963481
character 204	0:0.04055226; 1:0.95944774
character 205	0:0.00156862; 1:0.99843138
character 206	0:0.5; 1:0.5
character 207	0:0.99843138; 1:0.00156862
character 208	0:0.1720113; 1:0.8279887
character 209	0:0.8591251; 1:0.1408749
character 210	0:0.84952492; 1:0.15047508
character 211	0:0.87801112; 1:0.12198888
character 212	0:0.9898828; 1:0.0101172
character 213	0:0.08537079; 1:0.91462921
character 214	0:0.04200474; 1:0.95799526
character 215	0:0.99796466; 1:0.00203534
character 216	0:0.84952492; 1:0.15047508
character 217	0:0.99840479; 1:0.00159521
character 218	0:0.90365191; 1:0.09634809
character 219	0:0.18344299; 1:0.81655701
character 220	0:0.00156862; 1:0.99843138
character 221	0:0.04200474; 1:0.95799526
character 222	0:0.8416051; 1:0.1583949
character 223	0:0.90365191; 1:0.09634809
character 224	0:0.99843138; 1:0.00156862
character 225	0:0.84952492; 1:0.15047508
character 226	0:0.99840479; 1:0.00159521
character 228	0:0.00159521; 1:0.99840479
character 229	0:0.90591531; 1:0.09408469
character 230	0:0.5; 1:0.5
character 231	0:0.5; 1:0.5
character 232	0:0.99849706; 1:0.00150294
character 233	0:0.25128664; 1:0.74871336
character 234	0:0.99859055; 1:0.00140945
character 235	0:0.9036519; 1:0.0963481
character 236	0:0.81141695; 1:0.18858305
character 237	0:0.66965939; 1:0.33034061
character 238	0:0.5; 1:0.5
character 239	0:0.99849706; 1:0.00150294
character 240	0:0.00159521; 1:0.99840479
character 241	0:0.1408749; 1:0.8591251
character 242	0:0.90365191; 1:0.09634809
character 243	0:0.15839489; 1:0.84160511
character 244	0:0.08537079; 1:0.91462921
character 245	0:0.99849706; 1:0.00150294
character 246	0:0.5; 1:0.5
character 247	0:0.1720113; 1:0.8279887
